Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,GB,41,15,109.107.35.154,109.107.35.154,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,56,0,24.19.170.246,c-24-19-170-246.hsd1.wa.comcast.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin x86_64,0,0
Unnamed,NL,1,2,83.163.62.25,a83-163-62-25.adsl.xs4all.nl,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux i686,0,0
Unnamed,FR,8,0,90.11.250.27,AToulouse-754-1-7-27.w90-11.abo.wanadoo.fr,4443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,FR,8,1,62.34.158.70,dra38-1-62-34-158-70.dsl.sta.abo.bbox.fr,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,US,55,2,173.79.73.71,pool-173-79-73-71.washdc.fios.verizon.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows Vista Service Pack 2 [workstation],0,0
Unnamed,DE,0,0,46.5.79.111,HSI-KBW-046-005-079-111.hsi8.kabel-badenwuerttemberg.de,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows Vista Service Pack 2 [workstation],0,0
Unnamed,FR,21,2,78.116.117.3,3.117.116.78.rev.sfr.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.1.30 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
Unnamed,RU,4,1,95.165.3.8,ppp95-165-3-8.pppoe.spdop.ru,443,22,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
Unnamed,SE,695,16,80.217.231.103,c80-217-231-103.bredband.comhem.se,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin x86_64,0,0
Unnamed,US,0,0,50.137.77.71,c-50-137-77-71.hsd1.ma.comcast.net,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows 7  [workstation],0,0
Unnamed,AR,3,0,190.188.134.7,7-134-188-190.cab.prima.net.ar,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.24-alpha (git-c111adb5fe757ea9) on Windows Vista Service Pack 2 [workstation],0,0
Unnamed,FR,1,0,82.240.162.101,lam06-3-82-240-162-101.fbx.proxad.net,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-516f86643445dd7c) on Darwin x86_64,0,0
Unnamed,IR,0,0,31.47.36.103,31.47.36.103,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.3.4-alpha (git-5f4f727d58daa194) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,NL,3,3,95.96.108.199,095-096-108-199.static.chello.nl,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,FR,1,0,109.8.39.8,8.39.8.109.rev.sfr.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,1,1,78.224.101.61,ort64-1-78-224-101-61.fbx.proxad.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows 7  [workstation],0,0
Unnamed,US,28,4,216.15.59.26,216-15-59-26.c3-0.nmex-ubr1.lnh-nmex.md.cable.rcn.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,IR,0,0,2.146.46.74,2.146.46.74,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.2.32 (git-877e17749725ab88) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,0,0,66.142.12.214,adsl-66-142-12-214.dsl.amrltx.swbell.net,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,PT,2,9,79.168.28.27,a79-168-28-27.cpe.netcabo.pt,9030,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,14,0,178.66.230.89,pppoe.178-66-230-89.dynamic.avangarddsl.ru,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,DE,0,0,79.234.184.134,p4FEAB886.dip.t-dialin.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,5,0,72.129.183.133,mta-72-129-183-133.new.res.rr.com,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,FR,1,4,213.245.237.96,213-245-237-96.rev.numericable.fr,444,None,0,1,0,0,0,1,1,1,0,Tor 0.2.2.33 (git-8522652d8e9213d4) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,DE,0,0,91.64.198.199,91-64-198-199-dynip.superkabel.de,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {terminal services- single user},0,0
Unnamed,US,8,0,24.216.210.48,24-216-210-48.dhcp.stls.mo.charter.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,GB,2,18,82.5.203.17,cpc3-rdng5-0-0-cust784.15-3.cable.virginmedia.com,443,None,0,0,0,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
